name,url,Lazy Loading Smell,Anonymous Event Handler Smell,Async Load Script Smell,Client Side Logging Smell,Inline Style Smell,Unoptimized Images,Web Unsafe fonts
cruip/open-react-template,https://github.com/cruip/open-react-template.git,0,0,0,0,0,7,0
coreui/coreui-free-react-admin-template,https://github.com/coreui/coreui-free-react-admin-template.git,63,53,0,0,30,12,0
cruip/tailwind-landing-page-template,https://github.com/cruip/tailwind-landing-page-template.git,0,0,0,0,0,4,0
tbakerx/react-resume-template,https://github.com/tbakerx/react-resume-template.git,0,0,0,0,0,13,0
react-boilerplate/react-boilerplate-cra-template,https://github.com/react-boilerplate/react-boilerplate-cra-template.git,0,0,0,0,0,4,0
codedthemes/berry-free-react-admin-template,https://github.com/codedthemes/berry-free-react-admin-template.git,71,45,0,16,22,0,0
issaafalkattan/React-Landing-Page-Template,https://github.com/issaafalkattan/React-Landing-Page-Template.git,19,0,0,9,0,36,3
cruip/tailwind-dashboard-template,https://github.com/cruip/tailwind-dashboard-template.git,21,62,0,0,1,11,0
Adrinlol/landy-react-template,https://github.com/Adrinlol/landy-react-template.git,0,0,0,0,0,2,2
chetanverma16/react-portfolio-template,https://github.com/chetanverma16/react-portfolio-template.git,7,82,0,3,2,0,0
hauptrolle/chakra-templates,https://github.com/hauptrolle/chakra-templates.git,0,0,0,0,0,4,0
Shopify/shopify-app-template-node,https://github.com/Shopify/shopify-app-template-node.git,4,0,0,1,0,0,0
cobiwave/gatsby-simplefolio,https://github.com/cobiwave/gatsby-simplefolio.git,5,0,0,0,0,4,0
kb22/ML-React-App-Template,https://github.com/kb22/ML-React-App-Template.git,10,0,0,10,0,0,0
codedthemes/mantis-free-react-admin-template,https://github.com/codedthemes/mantis-free-react-admin-template.git,73,18,0,1,7,5,0
venits/react-native-login-template,https://github.com/venits/react-native-login-template.git,2,12,0,0,20,10,0
codingki/react-native-expo-template,https://github.com/codingki/react-native-expo-template.git,6,42,0,0,101,38,1
obytes/react-native-template-obytes,https://github.com/obytes/react-native-template-obytes.git,4,0,0,7,0,46,2
themeselection/materio-mui-react-nextjs-admin-template-free,https://github.com/themeselection/materio-mui-react-nextjs-admin-template-free.git,56,35,0,0,2,102,0
goitacademy/react-homework-template,https://github.com/goitacademy/react-homework-template.git,1,0,0,0,1,9,0
nordicgiant2/react-nice-resume,https://github.com/nordicgiant2/react-nice-resume.git,13,0,0,1,2,11,16
neo4j-examples/neo4j-movies-template,https://github.com/neo4j-examples/neo4j-movies-template.git,40,0,0,66,2,37,4
delprzemo/react-admin-template,https://github.com/delprzemo/react-admin-template.git,0,0,0,0,0,3,0
hql287/Manta,https://github.com/hql287/Manta.git,144,6,0,5,12,1,7
issaafalkattan/react-landing-page-template-2021,https://github.com/issaafalkattan/react-landing-page-template-2021.git,0,0,0,0,0,11,0
wednesday-solutions/react-template,https://github.com/wednesday-solutions/react-template.git,15,3,0,13,0,2,0
NiGhTTraX/ts-monorepo,https://github.com/NiGhTTraX/ts-monorepo.git,0,0,0,0,0,2,0
angineering/FullStackTemplate,https://github.com/angineering/FullStackTemplate.git,2,0,0,1,0,2,0
DesignRevision/shards-dashboard-react,https://github.com/DesignRevision/shards-dashboard-react.git,41,19,0,5,26,40,0
paljs/gatsby-admin-template,https://github.com/paljs/gatsby-admin-template.git,0,0,0,0,0,5,0
paljs/nextjs-admin-template,https://github.com/paljs/nextjs-admin-template.git,0,0,0,0,0,12,0
kaustubhai/portfolio-template,https://github.com/kaustubhai/portfolio-template.git,11,1,0,0,2,8,0
education/codespaces-project-template-js,https://github.com/education/codespaces-project-template-js.git,19,0,0,0,14,3,0
jellydn/dapp-starter,https://github.com/jellydn/dapp-starter.git,0,0,0,0,0,2,0
saadpasta/developerFolio,https://github.com/saadpasta/developerFolio.git,61,6,0,26,4,11,1
aditya-sridhar/simple-reactjs-app,https://github.com/aditya-sridhar/simple-reactjs-app.git,9,1,0,6,0,0,0
dsuryd/dotNetify-react-template,https://github.com/dsuryd/dotNetify-react-template.git,22,8,0,60,11,4,0
SinghDigamber/react-login-signup-ui-template,https://github.com/SinghDigamber/react-login-signup-ui-template.git,7,0,0,0,0,2,0
surveyjs/surveyjs_react_quickstart,https://github.com/surveyjs/surveyjs_react_quickstart.git,14,1,0,8,1,0,0
rherwig/template-react-ssr,https://github.com/rherwig/template-react-ssr.git,4,0,0,0,0,0,0
suren-atoyan/react-pwa,https://github.com/suren-atoyan/react-pwa.git,0,0,0,0,0,11,0
mvllow/next-pwa-template,https://github.com/mvllow/next-pwa-template.git,0,0,0,0,0,7,0
wtchnm/Vitamin,https://github.com/wtchnm/Vitamin.git,0,0,0,0,0,4,0
stanleyfok/nextjs-template,https://github.com/stanleyfok/nextjs-template.git,7,0,0,2,0,3,0
jaywcjlove/awesome-uikit,https://github.com/jaywcjlove/awesome-uikit.git,0,0,0,0,0,2,0
heysafronov/fogga-kanban,https://github.com/heysafronov/fogga-kanban.git,44,0,0,4,4,9,0
rescript-react-native/template,https://github.com/rescript-react-native/template.git,2,0,0,1,0,10,0
MicrosoftDocs/mslearn-staticwebapp,https://github.com/MicrosoftDocs/mslearn-staticwebapp.git,37,0,0,5,0,4,0
vaclav-zeman/dashboard-react-template,https://github.com/vaclav-zeman/dashboard-react-template.git,23,0,0,12,0,0,0
framework7io/framework7-template-react,https://github.com/framework7io/framework7-template-react.git,10,1,0,0,0,0,0
SteamDeckHomebrew/decky-plugin-template,https://github.com/SteamDeckHomebrew/decky-plugin-template.git,1,0,0,0,0,1,0
simpletut/Testing-React-Redux-with-Jest-and-Enzyme,https://github.com/simpletut/Testing-React-Redux-with-Jest-and-Enzyme.git,31,1,0,0,0,1,0
cooleye/react-template,https://github.com/cooleye/react-template.git,1,0,0,0,0,0,0
TryGhost/gatsby-starter-ghost,https://github.com/TryGhost/gatsby-starter-ghost.git,17,0,3,2,3,2,0
rajshekhar26/cleanfolio,https://github.com/rajshekhar26/cleanfolio.git,21,0,0,0,1,0,0
rsuite/rsuite-admin-template,https://github.com/rsuite/rsuite-admin-template.git,0,0,0,1,0,2,0
react-boilerplate/react-boilerplate-typescript,https://github.com/react-boilerplate/react-boilerplate-typescript.git,0,0,0,7,0,2,0
Abusayid693/Hackathon-website-template,https://github.com/Abusayid693/Hackathon-website-template.git,36,2,0,0,3,21,0
srobbin01/daisyui-admin-dashboard-template,https://github.com/srobbin01/daisyui-admin-dashboard-template.git,55,24,0,2,3,9,0
